,model,phase_strategy,bias,threshold,lr,avg_error,trained_weights,initial_weights,neuron_outputs,matrix,report
0,hsgs,original,False,0.3,0.02,0.375,"[1.435139681157116, 0.05425859319442128, -0.010898936634616638, -0.023299069818365204, -0.03081753623915186, -0.022467110532843105, -0.018470257297360338, 0.8992321416923366, 0.385345158763973, -0.5717246946327559, 1.0449689629047614, 0.3878354592960691, 1.0097141208007279, 0.6247166587790132, 0.49552880483036355, -0.01846618215150624, 2.187870846453553, 0.5047662608451392, 0.4682165050393121, 0.8216166477120577, -0.35637771430144816, 0.6094863033242306, 0.48319036809936233, 0.9847198367686323, 1.1566959021894132, -0.03294650698627245, 0.5945704586446878, 0.7913572109624061, 1.0503458543063355, 1.4006613933963885, 0.5325577191726398, 0.7016029166538502, 0.47057990693834584, 1.290640325993805, 1.386612937770057, -0.0013965202320308026, 1.2314423445636826, 1.3261990340843914, 1.0696147983345596, 1.3326271831441874]","[0.16550140046578743, 0.414901772573252, 0.44812065750272334, 0.7749003758140172, 0.7963907007825485, 0.5223901280016119, 0.4606302961632769, 0.7782136015438966]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]","[[6 1]
 [5 4]]","              precision    recall  f1-score   support

         0.0       0.55      0.86      0.67         7
         1.0       0.80      0.44      0.57         9

    accuracy                           0.62        16
   macro avg       0.67      0.65      0.62        16
weighted avg       0.69      0.62      0.61        16
"
1,hsgs,original,True,0.3,0.02,0.5625,"[1.9551396811571164, -1.3857414068055796, 2.0291010633653848, 1.3767009301816358, 3.2091824637608504, 0.33753288946715676, 0.2615297427026395, 2.619232141692338, 0.6653451587639732, 0.9082753053672449, 2.004968962904762, 2.9478354592960714, 1.5297141208007283, 1.1447166587790136, 1.015528804830364, -2.338466182151508, 6.227870846453507, 1.0247662608451396, 0.9882165050393126, 1.3416166477120581, -4.5163777143014405, 1.129486303324231, 1.0031903680993628, 1.5047198367686327, 1.6766959021894137, -0.5529465069862727, 1.1145704586446883, 1.3113572109624065, 1.570345854306336, 1.920661393396389, 0.012557719172639623, 1.2216029166538507, 0.9905799069383463, 1.8106403259938055, 1.9066129377700574, -0.521396520232031, 1.751442344563683, 1.846199034084392, 1.58961479833456, 1.8526271831441878, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383]","[0.16550140046578743, 0.414901772573252, 0.44812065750272334, 0.7749003758140172, 0.7963907007825485, 0.5223901280016119, 0.4606302961632769, 0.7782136015438966]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[7 0]
 [9 0]]","              precision    recall  f1-score   support

         0.0       0.44      1.00      0.61         7
         1.0       0.00      0.00      0.00         9

    accuracy                           0.44        16
   macro avg       0.22      0.50      0.30        16
weighted avg       0.19      0.44      0.27        16
"
2,hsgs,original,False,0.3,0.1,0.375,"[1.8751396811571164, 0.17425859319442125, -0.3308989366346167, -0.02329906981836463, -0.3908175362391513, -0.7024671105328432, -0.2584702572973603, 0.019232141692336585, 0.14534515876397353, -2.1317246946327564, 0.7649689629047608, 0.10783545929606936, 1.4497141208007278, 1.0647166587790127, 0.9355288048303633, -0.018466182151506277, 12.907870846453523, 0.9447662608451389, 0.908216505039312, 1.2616166477120574, -0.23637771430144813, 1.0494863033242303, 0.9231903680993622, 1.4247198367686322, 1.5966959021894134, -0.4729465069862724, 1.0345704586446876, 1.2313572109624058, 1.4903458543063355, 1.8406613933963887, 0.09255771917264044, 1.1416029166538497, 0.9105799069383457, 1.730640325993805, 1.826612937770057, -0.4413965202320307, 1.6714423445636828, 1.7661990340843916, 1.5096147983345594, 1.7726271831441878]","[0.16550140046578743, 0.414901772573252, 0.44812065750272334, 0.7749003758140172, 0.7963907007825485, 0.5223901280016119, 0.4606302961632769, 0.7782136015438966]","[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0]","[[6 1]
 [5 4]]","              precision    recall  f1-score   support

         0.0       0.55      0.86      0.67         7
         1.0       0.80      0.44      0.57         9

    accuracy                           0.62        16
   macro avg       0.67      0.65      0.62        16
weighted avg       0.69      0.62      0.61        16
"
3,hsgs,original,True,0.3,0.1,0.5625,"[1.9751396811571165, -7.725741406805568, 8.56910106336537, 4.676700930181635, 12.90918246376082, -2.8024671105328447, -2.958470257297362, 9.11923214169232, -2.5546548412360277, 4.1682753053672466, 5.464968962904758, 9.407835459296052, 1.549714120800728, 1.1647166587790128, 1.0355288048303632, -15.118466182151469, 28.607870846453693, 1.044766260845139, 1.008216505039312, 1.3616166477120575, -23.73637771430152, 1.1494863033242304, 1.0231903680993621, 1.5247198367686323, 1.6966959021894135, -0.5729465069862724, 1.1345704586446876, 1.331357210962406, 1.5903458543063356, 1.9406613933963888, -0.007442280827359621, 1.2416029166538498, 1.0105799069383457, 1.8306403259938053, 1.9266129377700572, -0.5413965202320307, 1.7714423445636829, 1.866199034084392, 1.6096147983345597, 1.8726271831441879, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16]","[0.16550140046578743, 0.414901772573252, 0.44812065750272334, 0.7749003758140172, 0.7963907007825485, 0.5223901280016119, 0.4606302961632769, 0.7782136015438966]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[7 0]
 [9 0]]","              precision    recall  f1-score   support

         0.0       0.44      1.00      0.61         7
         1.0       0.00      0.00      0.00         9

    accuracy                           0.44        16
   macro avg       0.22      0.50      0.30        16
weighted avg       0.19      0.44      0.27        16
"
4,hsgs,original,False,0.5,0.02,0.375,"[7.155139681157051, 0.014258593194421274, -0.010898936634616638, -0.06329906981836521, 0.00918246376084814, 5.3375328894671314, 2.9815297427026417, 1.8592321416923374, 3.3853451587639753, -2.3317246946327574, 4.244968962904759, 3.9078354592960722, 6.729714120800672, 6.344716658778966, 6.21552880483032, 1.3015338178484945, 2.0678708464535527, 6.224766260845095, 6.188216505039269, 6.541616647712006, -0.03637771430144811, 6.329486303324184, 6.203190368099318, 6.704719836768577, 6.876695902189354, -5.752946506986238, 6.314570458644641, 6.511357210962355, 6.770345854306279, 7.120661393396324, -5.187442280827338, 6.421602916653801, 6.190579906938302, 7.0106403259937435, 7.1066129377699925, -5.721396520231997, 6.951442344563622, 7.046199034084329, 6.789614798334503, 7.052627183144125]","[0.16550140046578743, 0.414901772573252, 0.44812065750272334, 0.7749003758140172, 0.7963907007825485, 0.5223901280016119, 0.4606302961632769, 0.7782136015438966]","[1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0]","[[5 2]
 [4 5]]","              precision    recall  f1-score   support

         0.0       0.56      0.71      0.63         7
         1.0       0.71      0.56      0.63         9

    accuracy                           0.62        16
   macro avg       0.63      0.63      0.63        16
weighted avg       0.64      0.62      0.63        16
"
5,hsgs,original,True,0.5,0.02,0.5625,"[1.9551396811571164, -1.3857414068055796, 2.0291010633653848, 1.3767009301816358, 3.2091824637608504, 0.33753288946715676, 0.2615297427026395, 2.619232141692338, 0.6653451587639732, 0.9082753053672449, 2.004968962904762, 2.9478354592960714, 1.5297141208007283, 1.1447166587790136, 1.015528804830364, -2.338466182151508, 6.227870846453507, 1.0247662608451396, 0.9882165050393126, 1.3416166477120581, -4.5163777143014405, 1.129486303324231, 1.0031903680993628, 1.5047198367686327, 1.6766959021894137, -0.5529465069862727, 1.1145704586446883, 1.3113572109624065, 1.570345854306336, 1.920661393396389, 0.012557719172639623, 1.2216029166538507, 0.9905799069383463, 1.8106403259938055, 1.9066129377700574, -0.521396520232031, 1.751442344563683, 1.846199034084392, 1.58961479833456, 1.8526271831441878, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383, 0.019999999999999383]","[0.16550140046578743, 0.414901772573252, 0.44812065750272334, 0.7749003758140172, 0.7963907007825485, 0.5223901280016119, 0.4606302961632769, 0.7782136015438966]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[7 0]
 [9 0]]","              precision    recall  f1-score   support

         0.0       0.44      1.00      0.61         7
         1.0       0.00      0.00      0.00         9

    accuracy                           0.44        16
   macro avg       0.22      0.50      0.30        16
weighted avg       0.19      0.44      0.27        16
"
6,hsgs,original,False,0.5,0.1,0.375,"[22.07513968115716, -0.025741406805578765, 0.0691010633653833, -0.4232990698183646, 0.00918246376084872, 17.097532889467132, 8.741529742702626, 9.01923214169232, 9.145345158763957, -4.331724694632757, 9.764968962904744, 9.507835459296052, 21.64971412080077, 21.264716658779047, 21.135528804830397, 0.7815338178484937, 4.907870846453551, 21.144766260845174, 21.108216505039344, 21.461616647712095, -0.03637771430144812, 21.249486303324264, 21.123190368099397, 21.624719836768673, 21.796695902189455, -20.6729465069863, 21.234570458644722, 21.431357210962442, 21.690345854306376, 22.040661393396434, -20.107442280827378, 21.341602916653887, 21.11057990693838, 21.93064032599385, 22.026612937770103, -20.641396520232057, 21.871442344563725, 21.966199034084436, 21.709614798334602, 21.972627183144233]","[0.16550140046578743, 0.414901772573252, 0.44812065750272334, 0.7749003758140172, 0.7963907007825485, 0.5223901280016119, 0.4606302961632769, 0.7782136015438966]","[1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1]","[[5 2]
 [4 5]]","              precision    recall  f1-score   support

         0.0       0.56      0.71      0.63         7
         1.0       0.71      0.56      0.63         9

    accuracy                           0.62        16
   macro avg       0.63      0.63      0.63        16
weighted avg       0.64      0.62      0.63        16
"
7,hsgs,original,True,0.5,0.1,0.5625,"[1.9751396811571165, 0.07425859319442135, 5.56910106336538, 1.8767009301816358, 9.109182463760833, -0.6024671105328431, 0.04152974270263979, 2.119232141692337, 0.4453451587639736, 0.16827530536724436, 4.264968962904763, 9.407835459296052, 1.549714120800728, 1.1647166587790128, 1.0355288048303632, -9.718466182151488, 23.207870846453616, 1.044766260845139, 1.008216505039312, 1.3616166477120575, -18.736377714301447, 1.1494863033242304, 1.0231903680993621, 1.5247198367686323, 1.6966959021894135, -0.5729465069862724, 1.1345704586446876, 1.331357210962406, 1.5903458543063356, 1.9406613933963888, -0.007442280827359621, 1.2416029166538498, 1.0105799069383457, 1.830640325993805, 1.9266129377700572, -0.5413965202320307, 1.7714423445636829, 1.8661990340843917, 1.6096147983345597, 1.8726271831441879, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16, 1.3877787807814457e-16]","[0.16550140046578743, 0.414901772573252, 0.44812065750272334, 0.7749003758140172, 0.7963907007825485, 0.5223901280016119, 0.4606302961632769, 0.7782136015438966]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[[7 0]
 [9 0]]","              precision    recall  f1-score   support

         0.0       0.44      1.00      0.61         7
         1.0       0.00      0.00      0.00         9

    accuracy                           0.44        16
   macro avg       0.22      0.50      0.30        16
weighted avg       0.19      0.44      0.27        16
"
8,hsgs,original,False,0.7,0.02,0.6875,"[14.615139681156892, -1.2857414068055795, 3.409101063365386, -1.8832990698183665, 0.14918246376084804, 12.237532889466985, 8.481529742702547, 6.159232141692294, 8.885345158763872, 0.008275305367244336, 8.944968962904658, 8.84783545929597, 14.189714120800513, 13.804716658778807, 13.675528804830162, 5.121533817848473, 4.527870846453543, 13.684766260844937, 13.64821650503911, 14.001616647711847, -0.05637771430144811, 13.789486303324026, 13.66319036809916, 14.164719836768418, 14.336695902189195, -13.21294650698608, 13.774570458644483, 13.971357210962196, 14.23034585430612, 14.580661393396165, -12.64744228082718, 13.881602916653643, 13.650579906938143, 14.470640325993585, 14.566612937769834, -13.18139652023184, 14.411442344563463, 14.50619903408417, 14.249614798334344, 14.512627183143966]","[0.16550140046578743, 0.414901772573252, 0.44812065750272334, 0.7749003758140172, 0.7963907007825485, 0.5223901280016119, 0.4606302961632769, 0.7782136015438966]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]","[[5 2]
 [9 0]]","              precision    recall  f1-score   support

         0.0       0.36      0.71      0.48         7
         1.0       0.00      0.00      0.00         9

    accuracy                           0.31        16
   macro avg       0.18      0.36      0.24        16
weighted avg       0.16      0.31      0.21        16
"
9,hsgs,original,True,0.7,0.02,0.5,"[2.8751396811571173, 0.05425859319442128, -0.09089893663461665, -0.10329906981836522, 0.009182463760848029, 0.9775328894671573, -0.01847025729736045, 1.8992321416923374, 0.3853451587639729, -1.0117246946327563, 1.2849689629047616, 1.5478354592960701, 2.449714120800729, 2.0647166587790142, 1.9355288048303647, -0.01846618215150624, 2.347870846453553, 1.9447662608451401, 1.9082165050393134, 2.2616166477120587, 0.003622285698551893, 2.049486303324232, 1.9231903680993634, 2.4247198367686336, 2.5966959021894143, -1.4729465069862735, 2.034570458644689, 2.231357210962407, 2.490345854306337, 2.8406613933963896, -0.9074422808273608, 2.1416029166538513, 1.910579906938347, 2.7306403259938063, 2.826612937770058, -1.4413965202320318, 2.6714423445636837, 2.7661990340843925, 2.5096147983345607, 2.7726271831441887, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001, -0.900000000000001]","[0.16550140046578743, 0.414901772573252, 0.44812065750272334, 0.7749003758140172, 0.7963907007825485, 0.5223901280016119, 0.4606302961632769, 0.7782136015438966]","[1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]","[[4 3]
 [5 4]]","              precision    recall  f1-score   support

         0.0       0.44      0.57      0.50         7
         1.0       0.57      0.44      0.50         9

    accuracy                           0.50        16
   macro avg       0.51      0.51      0.50        16
weighted avg       0.52      0.50      0.50        16
"
